epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1751,0.9167,0.64804,1.23158,0.94518,0.94188,0.97679,0.73639,0.91967,0.54019,1.2226,7.91403e-05,7.91403e-05,7.91403e-05
2,152.856,0.93452,0.66468,1.24493,0.94864,0.94561,0.97807,0.73759,0.9166,0.54201,1.22325,0.000142785,0.000142785,0.000142785
3,210.946,0.94184,0.6599,1.24777,0.95169,0.94019,0.97737,0.71445,0.98774,0.55199,1.27151,0.000190721,0.000190721,0.000190721
4,268.539,0.93749,0.65119,1.24319,0.95383,0.94029,0.97819,0.74242,0.90039,0.53749,1.20446,0.000167314,0.000167314,0.000167314
5,325.492,0.92454,0.63748,1.23454,0.95565,0.95451,0.98093,0.7535,0.87237,0.51083,1.19343,0.000143752,0.000143752,0.000143752
6,385.027,0.91882,0.62293,1.22883,0.96322,0.95378,0.98319,0.75379,0.88359,0.50556,1.19809,0.00012019,0.00012019,0.00012019
7,442.767,0.90907,0.60902,1.22035,0.96212,0.95221,0.98365,0.75189,0.89123,0.49822,1.19565,9.6628e-05,9.6628e-05,9.6628e-05
8,499.612,0.89901,0.59922,1.21109,0.96334,0.95736,0.9838,0.75669,0.87011,0.49058,1.18255,7.3066e-05,7.3066e-05,7.3066e-05
9,555.607,0.89202,0.5867,1.20625,0.96538,0.96188,0.98497,0.76702,0.84844,0.47275,1.17149,4.9504e-05,4.9504e-05,4.9504e-05
10,613.184,0.89136,0.58239,1.2052,0.97081,0.96034,0.98626,0.76857,0.84749,0.47063,1.1659,2.5942e-05,2.5942e-05,2.5942e-05
