epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0419,1.15371,0.56094,1.32966,0.97949,0.91982,0.95286,0.66676,1.11776,0.48024,1.40783,0.000665158,0.000665158,0.000665158
2,124.113,1.16362,0.56191,1.33701,0.96989,0.91481,0.95022,0.64686,1.17428,0.51811,1.44381,0.00124392,0.00124392,0.00124392
3,182.086,1.1774,0.58435,1.35496,0.97422,0.91247,0.94934,0.64577,1.1657,0.52786,1.44594,0.00173469,0.00173469,0.00173469
4,239.743,1.17243,0.5763,1.34467,0.9771,0.9135,0.95027,0.64366,1.17385,0.52909,1.45443,0.001604,0.001604,0.001604
5,297.323,1.16131,0.56656,1.34077,0.97654,0.91027,0.94972,0.64311,1.17235,0.52021,1.45506,0.001472,0.001472,0.001472
6,383.291,1.13082,0.51236,1.36869,0.97203,0.91298,0.94995,0.6324,1.20963,0.54654,1.47642,0.00134,0.00134,0.00134
7,439.958,1.12262,0.50624,1.36917,0.98085,0.91526,0.95902,0.66715,1.14813,0.49261,1.42489,0.001208,0.001208,0.001208
8,496.655,1.11429,0.49487,1.36041,0.97531,0.91784,0.95262,0.66048,1.15662,0.51251,1.43337,0.001076,0.001076,0.001076
9,553.423,1.09555,0.48324,1.35163,0.97178,0.90977,0.94619,0.64472,1.19708,0.52254,1.45106,0.000944,0.000944,0.000944
10,610.092,1.08378,0.46817,1.33671,0.97452,0.92348,0.95529,0.66436,1.1427,0.48969,1.42184,0.000812,0.000812,0.000812
11,666.645,1.07427,0.46166,1.34049,0.97882,0.92437,0.95693,0.6779,1.11419,0.46924,1.40422,0.00068,0.00068,0.00068
12,723.321,1.0624,0.45729,1.31561,0.98394,0.92129,0.95867,0.67757,1.10303,0.46707,1.38884,0.000548,0.000548,0.000548
13,779.904,1.04768,0.44413,1.30815,0.98157,0.91982,0.95713,0.68218,1.09882,0.4553,1.3841,0.000416,0.000416,0.000416
14,836.49,1.03868,0.43119,1.29926,0.985,0.92734,0.96061,0.68164,1.09409,0.44646,1.38073,0.000284,0.000284,0.000284
15,892.144,1.0335,0.42601,1.29863,0.98692,0.92833,0.96051,0.686,1.08542,0.44364,1.3737,0.000152,0.000152,0.000152
